Grade,Year,Category,MeanScaleScore
All Grades,2006,Asian,687
All Grades,2007,Asian,695
All Grades,2008,Asian,700
All Grades,2009,Asian,705
All Grades,2010,Asian,703
All Grades,2011,Asian,702
All Grades,2006,Black,644
All Grades,2007,Black,654
All Grades,2008,Black,661
All Grades,2009,Black,669
All Grades,2010,Black,669
All Grades,2011,Black,670
All Grades,2006,Hispanic,647
All Grades,2007,Hispanic,657
All Grades,2008,Hispanic,664
All Grades,2009,Hispanic,673
All Grades,2010,Hispanic,673
All Grades,2011,Hispanic,673
All Grades,2006,White,676
All Grades,2007,White,684
All Grades,2008,White,690
All Grades,2009,White,696
All Grades,2010,White,695
All Grades,2011,White,695
