"iso","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","umd_tree_cover_loss__year"
"AFG",10247.471355643014,88.09271247242819,18787.030818678868,2001
"AGO",16083306.658608384,101220.62152449829,29486062.207448702,2001
"AIA",288.61578978242727,3.878460708097651,529.1289479344498,2001
"ALA",34961.68477768484,396.9348256717008,64096.42209242219,2001
"ALB",615860.8451132023,3729.021031483717,1129078.216040871,2001
"AND",273.4194761669196,1.654212947716936,501.2690396393526,2001
"ARG",13268809.171292592,147805.95035563706,24326150.147369757,2001
"ARM",18160.70564609262,131.84061226449543,33294.62701783647,2001
"ATG",2927.477313709674,24.074189438288734,5367.0417418010675,2001
"AUS",16009519.976567704,218816.30207113762,29350786.623707514,2001
"AUT",1279790.6576843802,6926.269007849326,2346282.8724213643,2001
"AZE",70481.86056064825,553.2993561210785,129216.74436118844,2001
"BDI",206821.06193150702,1417.2469570863386,379171.94687442953,2001
"BEL",191837.4350978859,971.4881952763179,351701.9643461241,2001
"BEN",478051.14042497077,3749.3311051827845,876427.0907791132,2001
"BES",507.45071020574613,3.0318572528930003,930.3263020438678,2001
"BFA",6076.335119252065,59.47710511237852,11139.947718628788,2001
"BGD",1048220.0416167944,4586.997202714803,1921736.742964123,2001
"BGR",1088080.535198433,8202.319111660232,1994814.3145304606,2001
"BHS",33221.94467263782,432.9994197035569,60906.89856650267,2001
"BIH",282938.45496126334,1496.107104548275,518720.5007623157,2001
"BLR",2309333.236839127,18358.964278886404,4233777.600871732,2001
"BLZ",1451874.4657174125,8211.629492547681,2661769.8538152566,2001
"BMU",29.50421447085582,0.19581979363933033,54.09105986323567,2001
"BOL",26429745.059562217,140321.2605309791,48454532.60919739,2001
"BRA",494842681.3839967,2746361.55670612,907211582.5373273,2001
"BRB",1512.7248380703127,12.367461564155155,2773.328869795573,2001
"BRN",355750.7016261478,1244.4538228679592,652209.6196479376,2001
"BTN",75759.56668959132,297.6596314942815,138892.53893091742,2001
"BWA",9963.06925919933,130.9838814771667,18265.626975198775,2001
"CAF",6259548.18145242,31282.436853072533,11475838.332662769,2001
"CAN",114981774.02882263,1358154.7994920975,210799919.05284142,2001
"CHE",244563.91238233878,1165.213247326304,448367.17270095437,2001
"CHL",9556729.073974608,72711.30280696685,17520669.968953457,2001
"CHN",40387339.44823387,230289.11527880246,74043455.65509543,2001
"CIV",19968554.604410987,122711.45023838062,36609016.77475347,2001
"CMR",8437551.682904735,39203.71718120769,15468844.751992013,2001
"COD",107983169.05855441,455516.738970459,197969143.27401638,2001
"COG",5996406.809919567,27030.696217873643,10993412.48485254,2001
"COL",47346193.00919147,230054.835672377,86801353.85018437,2001
"COM",7410.688026778093,36.973693208113474,13586.261382426503,2001
"CPV",,7.13645079432583,,2001
"CRI",2918658.4742621295,15461.879449467175,5350873.869480571,2001
"CUB",2258779.4833381088,18942.9087780276,4141095.719453199,2001
"CUW",74.25614554014535,0.9027885255115696,136.13626682359984,2001
"CYM",1707.1091836251678,20.681612199946233,3129.7001699794746,2001
"CYP",7735.843180966398,78.62890207431752,14182.379165105056,2001
"CZE",602080.1784278991,3460.14258550607,1103813.6604511484,2001
"DEU",2809020.7645876124,15286.38056788727,5149871.401743956,2001
"DMA",5645.02287146733,22.792755510800127,10349.208597690103,2001
"DNK",477170.906716343,4329.2958531879685,874813.3289799622,2001
"DOM",1734355.0248989346,11246.810065544803,3179650.87898138,2001
"DZA",365692.59647132247,3468.7602521703225,670436.4268640913,2001
"ECU",10480071.631953407,45002.46870978968,19213464.658581246,2001
"EGY",13069.140393803016,147.7649426811371,23960.090721972196,2001
"ERI",449.1318235446375,2.5295243326025014,823.4083431651688,2001
"ESP",4649241.739784076,32811.05351921236,8523609.856270805,2001
"EST",1698105.748136992,16872.434505280275,3113193.8715844853,2001
"ETH",2175747.9235629253,11947.24724356126,3988871.1931986967,2001
"FIN",12753976.370001908,151003.26050003836,23382290.011670157,2001
"FJI",245942.3261405191,1097.7640543965963,450894.2645909517,2001
"FRA",5834716.504351649,34420.96339434102,10696980.257978022,2001
"GAB",3688765.9641557317,15082.637729593138,6762737.6009521745,2001
"GBR",3474738.733822708,23244.12725064032,6370354.345341631,2001
"GEO",112987.46367566945,666.5563666120051,207143.683405394,2001
"GGY",114.97259171737193,0.957678035646647,210.7830848151819,2001
"GHA",7194314.217893692,43644.05617298999,13189576.066138435,2001
"GIB",19.040691838638242,0.18728563696830533,34.90793503750344,2001
"GIN",2685841.5571427606,18571.525855882664,4924042.854761729,2001
"GLP",49504.575023116406,320.70238556632324,90758.38754238008,2001
"GMB",289.7270909961047,3.297421863044837,531.1663334928586,2001
"GNB",311517.98478612973,2362.1530283449556,571116.3054412379,2001
"GNQ",932939.7886122895,3585.4191014240555,1710389.612455864,2001
"GRC",1479967.4256471558,12616.822022140961,2713273.613686453,2001
"GRD",7746.381264737329,32.81085886820271,14201.69898535177,2001
"GTM",9112600.313838508,53310.17515247029,16706433.90870393,2001
"GUF",977709.4623482154,3033.287748554058,1792467.3476383947,2001
"GUY",2689474.4828720586,10039.867706898684,4930703.218598774,2001
"HKG",1528.3996993906896,7.981291213915409,2802.0661155495977,2001
"HND",7470899.467714477,42380.17445674393,13696649.024143208,2001
"HRV",555405.7181548455,3378.4896036338837,1018243.8166172168,2001
"HTI",350479.87833218527,2469.0482983445613,642546.4436090062,2001
"HUN",1166350.4667069763,7522.059331818267,2138309.1889627897,2001
"IDN",179413028.09227085,744087.9891098507,328923884.83582985,2001
"IMN",2066.5561246869142,15.975437616743115,3788.6862285926763,2001
"IND",14166614.477954622,62361.174495384395,25972126.54291681,2001
"IRL",1714267.7001866323,9559.474140866358,3142824.1170088258,2001
"IRN",35391.26560961714,332.4837053737923,64883.98695096477,2001
"IRQ",1810.4062099541343,16.026636417037196,3319.078051582579,2001
"ISR",13840.101654667606,145.9652380545117,25373.519700223944,2001
"ITA",1172744.5571170414,9871.496931661846,2150031.688047909,2001
"JAM",252829.28064725277,1246.2415233271208,463520.3478532967,2001
"JEY",657.1799771600798,3.6963388705227933,1204.829958126813,2001
"JOR",46.98282713144372,0.5220280310915502,86.13518307431349,2001
"JPN",4100042.6730346065,23977.46161886231,7516744.900563445,2001
"KAZ",519084.9585544275,4534.702741324709,951655.7573497839,2001
"KEN",3826150.727271133,19027.211048887584,7014609.666663744,2001
"KGZ",67921.52354995254,589.2263559968982,124522.79317491296,2001
"KHM",6020735.782776639,28491.443870947376,11038015.601757169,2001
"KNA",7835.488289301029,45.60965867600311,14365.061863718554,2001
"KOR",634425.2597271297,5503.445334868549,1163112.9761664043,2001
"LAO",8170651.375236167,36474.650750462686,14979527.521266304,2001
"LBN",32317.752892699216,299.404267598162,59249.213636615226,2001
"LBR",5434033.54972033,29185.67018033065,9962394.841153938,2001
"LBY",1500.7465509549118,17.152701516998924,2751.3686767506715,2001
"LCA",6344.046106947488,31.080463208523636,11630.751196070392,2001
"LIE",760.1141083856243,3.423943211927802,1393.542532040311,2001
"LKA",630057.4834458951,3759.510363382602,1155105.3863174743,2001
"LSO",140.51592930988394,1.1400521308137563,257.61253706812056,2001
"LTU",967462.5606361899,7961.6873952171645,1773681.3611663482,2001
"LUX",13808.824272001228,68.6096919671928,25316.17783200225,2001
"LVA",2869992.310410503,24907.62112447309,5261652.569085921,2001
"MAC",,1.4280703393362622,,2001
"MAF",291.5244430221004,2.1236559847047403,534.4614788738508,2001
"MAR",214387.56462467773,1868.2886058844763,393043.8684785758,2001
"MDA",15973.72566809678,146.68806072638034,29285.163724844097,2001
"MDG",17588874.600183617,86956.83269885098,32246270.10033663,2001
"MDV",166.02759681644494,4.743487262381189,304.3839274968157,2001
"MEX",20796791.156523883,158302.9884905899,38127450.45362712,2001
"MKD",292428.82952683035,2059.864143130136,536119.520799189,2001
"MLI",48733.67873941855,347.8706881063303,89345.07768893402,2001
"MLT",134.07962740224366,1.251912537584689,245.81265023744666,2001
"MMR",9948215.294756953,44804.239127305955,18238394.70705441,2001
"MNE",160584.24654500154,858.4920805239992,294404.4519991695,2001
"MNG",2180417.0436868747,21056.722644031623,3997431.246759272,2001
"MOZ",8486221.199084314,60936.64967623527,15558072.198321242,2001
"MRT",3418.13282104069,31.838435367579606,6266.5768385746,2001
"MSR",1314.8671588128848,7.078555305502111,2410.589791156955,2001
"MTQ",38392.464997023744,192.96524826154285,70386.18582787688,2001
"MUS",35697.209753560295,156.58138352490496,65444.88454819387,2001
"MWI",405676.24279004626,2488.280770450354,743739.7784484181,2001
"MYS",76459334.30979395,332497.4245344976,140175446.2346222,2001
"MYT",6850.8300455895305,31.302693666773205,12559.855083580807,2001
"NAM",37750.86280483337,417.5124607427558,69209.91514219451,2001
"NCL",112378.98118711036,697.9210994349735,206028.132176369,2001
"NER",10.964283530266306,0.15019566479816857,20.101186472154893,2001
"NGA",5997525.96862416,43386.49462046779,10995464.275810959,2001
"NIC",8544278.844706323,44109.79204906222,15664511.215294927,2001
"NLD",119279.84668826155,736.4216233847903,218679.7189284795,2001
"NOR",2001305.310935776,22445.94139930575,3669059.7367155887,2001
"NPL",413173.67231633817,1523.1947518804525,757485.0659132865,2001
"NZL",9229637.680041635,50528.28239025937,16921002.413409665,2001
"PAK",37578.187221385524,217.77039508557067,68893.34323920679,2001
"PAN",3967214.514344876,18264.10740919845,7273226.609632273,2001
"PER",22699286.23075998,86013.8664907542,41615358.08972663,2001
"PHL",8181886.456138948,35165.191704455654,15000125.16958807,2001
"PLW",16440.3883909864,52.11206111854149,30140.712050141738,2001
"PNG",10559844.946066523,36005.13509686962,19359715.734455295,2001
"POL",2553619.6367795835,19066.10207518364,4681636.00076257,2001
"PRI",220866.53108456772,1252.3622311306517,404921.9736550408,2001
"PRK",1372331.94482472,11945.609487843652,2515941.8988453196,2001
"PRT",2958900.4935766007,24405.379822220122,5424650.904890435,2001
"PRY",14676374.475238193,150238.7329417735,26906686.53793668,2001
"PSE",203.2182549604198,2.219302277639004,372.56680076076964,2001
"REU",6182.979040384991,28.617214131865566,11335.46157403915,2001
"ROU",3106347.922828795,17535.528792149962,5694971.19185279,2001
"RUS",144296113.80502516,1826602.9954261198,264542875.3092127,2001
"RWA",252500.9275289041,1516.7663207831765,462918.3671363242,2001
"SDN",3141.9132917601573,26.94295315939115,5760.174368226955,2001
"SEN",8568.341783859338,70.59427484559615,15708.626603742121,2001
"SGP",5519.267614262155,43.453894671102205,10118.657292813952,2001
"SLB",591721.3720640859,2187.1174440041614,1084822.515450824,2001
"SLE",2935766.6750865877,18596.425298670856,5382238.904325412,2001
"SLV",1422179.9746436516,9499.391624037511,2607329.9535133615,2001
